"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","0.01u","",""
"2","C2, C4, C6, C7","4","1u","",""
"3","C3","1","4700p","",""
"4","C5","1","2.2u","",""
"5","C8, C9, C12, C13","4","47u","",""
"6","C10, C11, C14, C15","4","0.1u","",""
"7","D1","1","1N4148","",""
"8","J1","1","X","",""
"9","J2","1","Xout","",""
"10","J3","1","Flyback Signal","",""
"11","J4","1","Y","",""
"12","J5","1","Yout","",""
"13","J6","1","Z","",""
"14","J7","1","Zout","",""
"15","J8","1","Conn_01x03","",""
"16","PS1","1","MAU109","000_MyFootprint:SIP-6_without_3pin_for_DCDC_MAU",""
"17","R1","1","3.3k","",""
"18","R2, R4, R11, R13, R14, R16, R18, RV11","8","1k","",""
"19","R3, R8, R12, R19","4","10","",""
"20","R5, R6, R9, R10, R15, RV1, RV4, RV7, RV10, RV13","10","10k","",""
"21","R7, R17","2","4.7","",""
"22","RV2, RV8","2","3k","",""
"23","RV3, RV9","2","1M","",""
"24","RV5","1","5k","",""
"25","RV6, RV12","2","100k","",""
"26","U1, U3","2","AD8397","000_MyFootprint:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias",""
"27","U2","1","NE555P","Package_DIP:DIP-8_W7.62mm",""
"28","U4","1","TL072","",""
